R=0.000001, dtdx=0.015000, dtdx2=0.000000, c0=0.571429, c1=0.750000
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
0  5.047740e+02    0.00e+00    6.22e+01   0.00e+00   0.00e+00  1.00e+04        0    8.07e+00    1.06e+01
1  1.271166e+02    3.78e+02    1.77e+00   9.12e+00   1.00e+00  3.00e+04        1    2.23e+01    3.29e+01
2  1.255332e+02    1.58e+00    1.27e+00   8.74e+00   9.88e-01  9.00e+04        1    1.49e+01    4.79e+01
3  1.245710e+02    9.62e-01    3.86e+00   1.32e+01   8.88e-01  1.69e+05        1    1.43e+01    6.22e+01
4  1.239194e+02    6.52e-01    3.92e+00   1.56e+01   7.82e-01  2.06e+05        1    1.46e+01    7.68e+01
5  1.234080e+02    5.11e-01    2.61e+00   1.45e+01   7.92e-01  2.57e+05        1    1.47e+01    9.15e+01
6  1.230915e+02    3.16e-01    4.12e+00   1.47e+01   6.28e-01  2.61e+05        1    1.51e+01    1.07e+02
7  1.227768e+02    3.15e-01    4.02e+00   1.29e+01   6.87e-01  2.75e+05        1    1.44e+01    1.21e+02
8  1.225473e+02    2.29e-01    4.12e+00   1.21e+01   6.25e-01  2.80e+05        1    1.49e+01    1.36e+02
9  1.223413e+02    2.06e-01    4.07e+00   1.13e+01   6.33e-01  2.85e+05        1    1.43e+01    1.50e+02
10  1.221647e+02    1.77e-01    4.11e+00   1.08e+01   6.19e-01  2.89e+05        1    1.46e+01    1.65e+02
Ceres Solver Report: Iterations: 11, Initial cost: 5.047740e+02, Final cost: 1.221647e+02, Termination: NO_CONVERGENCE

