R=0.000001, dtdx=0.015000, dtdx2=0.000000, c0=0.571429, c1=0.750000
980
N obs read: 980
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
0  8.715955e+03    0.00e+00    3.58e+02   0.00e+00   0.00e+00  1.00e+04        0    7.80e+00    8.70e+00
1  4.319948e+02    8.28e+03    4.20e+00   4.73e+01   1.00e+00  3.00e+04        1    2.24e+01    3.11e+01
2  4.070144e+02    2.50e+01    4.31e+00   2.68e+01   9.91e-01  9.00e+04        1    1.57e+01    4.68e+01
3  4.002389e+02    6.78e+00    8.50e+00   3.01e+01   8.72e-01  1.53e+05        1    1.54e+01    6.22e+01
4  3.968206e+02    3.42e+00    7.38e+00   2.84e+01   8.20e-01  2.07e+05        1    1.46e+01    7.69e+01
5  3.947998e+02    2.02e+00    5.83e+00   2.77e+01   7.40e-01  2.33e+05        1    1.55e+01    9.24e+01
6  3.932047e+02    1.60e+00    6.53e+00   2.57e+01   7.43e-01  2.63e+05        1    1.54e+01    1.08e+02
7  3.919453e+02    1.26e+00    6.08e+00   2.54e+01   7.10e-01  2.84e+05        1    1.78e+01    1.26e+02
8  3.908075e+02    1.14e+00    6.21e+00   2.50e+01   7.11e-01  3.07e+05        1    1.63e+01    1.42e+02
9  3.898109e+02    9.97e-01    6.98e+00   2.51e+01   6.76e-01  3.21e+05        1    1.50e+01    1.57e+02
10  3.888705e+02    9.40e-01    7.73e+00   2.48e+01   6.62e-01  3.33e+05        1    1.40e+01    1.71e+02
Ceres Solver Report: Iterations: 11, Initial cost: 8.715955e+03, Final cost: 3.888705e+02, Termination: NO_CONVERGENCE

