R=0.000001, dtdx=0.015000, dtdx2=0.000000, c0=0.571429, c1=0.750000
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
0  5.228404e+03    0.00e+00    2.77e+02   0.00e+00   0.00e+00  1.00e+04        0    9.11e+00    1.07e+01
1  4.327139e+02    4.80e+03    8.20e+00   3.55e+01   1.00e+00  3.00e+04        1    2.59e+01    3.66e+01
2  4.166555e+02    1.61e+01    7.14e+00   2.38e+01   9.70e-01  9.00e+04        1    1.68e+01    5.34e+01
3  4.112354e+02    5.42e+00    1.65e+01   3.43e+01   6.31e-01  9.17e+04        1    1.68e+01    7.02e+01
4  4.053011e+02    5.93e+00    6.24e+00   2.49e+01   8.91e-01  1.75e+05        1    1.66e+01    8.68e+01
5  4.035507e+02    1.75e+00    1.50e+01   3.40e+01   4.23e-01  1.75e+05        1    1.68e+01    1.04e+02
6  4.001508e+02    3.40e+00    1.24e+01   2.74e+01   7.52e-01  2.01e+05        1    1.63e+01    1.20e+02
7  3.984443e+02    1.71e+00    1.32e+01   2.70e+01   5.92e-01  2.02e+05        1    1.43e+01    1.34e+02
8  3.966795e+02    1.76e+00    1.07e+01   2.45e+01   6.77e-01  2.11e+05        1    1.41e+01    1.48e+02
9  3.952976e+02    1.38e+00    9.45e+00   2.38e+01   6.50e-01  2.17e+05        1    1.38e+01    1.62e+02
10  3.940096e+02    1.29e+00    8.01e+00   2.31e+01   6.74e-01  2.27e+05        1    1.39e+01    1.76e+02
Ceres Solver Report: Iterations: 11, Initial cost: 5.228404e+03, Final cost: 3.940096e+02, Termination: NO_CONVERGENCE

