iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
0  5.147657e+03    0.00e+00    2.67e+02   0.00e+00   0.00e+00  1.00e+04        0    8.63e+00    1.00e+01
1  4.333775e+02    4.71e+03    4.08e+00   3.48e+01   1.00e+00  3.00e+04        1    2.32e+01    3.32e+01
2  4.171469e+02    1.62e+01    2.23e+00   2.39e+01   9.91e-01  9.00e+04        1    1.61e+01    4.93e+01
3  4.103512e+02    6.80e+00    8.26e+00   3.30e+01   8.39e-01  1.31e+05        1    1.74e+01    6.67e+01
4  4.063787e+02    3.97e+00    9.02e+00   3.09e+01   7.53e-01  1.50e+05        1    2.28e+01    8.95e+01
5  4.034539e+02    2.92e+00    7.39e+00   2.72e+01   7.74e-01  1.80e+05        1    1.93e+01    1.09e+02
6  4.015268e+02    1.93e+00    8.64e+00   2.67e+01   6.91e-01  1.90e+05        1    1.82e+01    1.27e+02
7  3.998231e+02    1.70e+00    8.10e+00   2.46e+01   7.12e-01  2.06e+05        1    1.84e+01    1.45e+02
8  3.984737e+02    1.35e+00    8.09e+00   2.41e+01   6.63e-01  2.13e+05        1    1.58e+01    1.61e+02
9  3.971960e+02    1.28e+00    7.77e+00   2.33e+01   6.75e-01  2.23e+05        1    1.83e+01    1.79e+02
10  3.960368e+02    1.16e+00    7.46e+00   2.30e+01   6.65e-01  2.31e+05        1    1.86e+01    1.98e+02
11  3.949231e+02    1.11e+00    6.91e+00   2.28e+01   6.73e-01  2.41e+05        1    1.73e+01    2.15e+02
12  3.938597e+02    1.06e+00    6.30e+00   2.28e+01   6.76e-01  2.52e+05        1    1.44e+01    2.30e+02
13  3.928276e+02    1.03e+00    5.61e+00   2.30e+01   6.82e-01  2.65e+05        1    1.50e+01    2.45e+02
14  3.918250e+02    1.00e+00    4.89e+00   2.32e+01   6.85e-01  2.79e+05        1    1.45e+01    2.59e+02
15  3.908457e+02    9.79e-01    4.46e+00   2.36e+01   6.87e-01  2.95e+05        1    1.41e+01    2.73e+02
16  3.898886e+02    9.57e-01    3.98e+00   2.40e+01   6.87e-01  3.11e+05        1    1.52e+01    2.88e+02
17  3.889522e+02    9.36e-01    3.47e+00   2.44e+01   6.85e-01  3.28e+05        1    1.78e+01    3.06e+02
18  3.880368e+02    9.15e-01    3.28e+00   2.47e+01   6.82e-01  3.44e+05        1    1.82e+01    3.24e+02
19  3.871424e+02    8.94e-01    3.54e+00   2.50e+01   6.78e-01  3.61e+05        1    1.89e+01    3.43e+02
20  3.862693e+02    8.73e-01    3.74e+00   2.53e+01   6.74e-01  3.76e+05        1    1.72e+01    3.61e+02
21  3.854175e+02    8.52e-01    3.88e+00   2.54e+01   6.71e-01  3.92e+05        1    1.61e+01    3.77e+02
22  3.845873e+02    8.30e-01    3.93e+00   2.56e+01   6.68e-01  4.08e+05        1    2.32e+01    4.00e+02
23  3.837792e+02    8.08e-01    3.90e+00   2.57e+01   6.66e-01  4.23e+05        1    1.70e+01    4.17e+02
24  3.829940e+02    7.85e-01    3.79e+00   2.58e+01   6.62e-01  4.38e+05        1    1.67e+01    4.34e+02
25  3.822331e+02    7.61e-01    3.88e+00   2.58e+01   6.58e-01  4.52e+05        1    1.52e+01    4.49e+02
26  3.814978e+02    7.35e-01    4.62e+00   2.58e+01   6.52e-01  4.65e+05        1    1.38e+01    4.63e+02
27  3.807894e+02    7.08e-01    5.42e+00   2.57e+01   6.43e-01  4.76e+05        1    1.54e+01    4.78e+02
28  3.801087e+02    6.81e-01    6.25e+00   2.55e+01   6.32e-01  4.85e+05        1    1.51e+01    4.93e+02
