t,x,obs,err_stdv
0,0,-19.736723303215296,0.5
0,100,-16.15797175313062,0.5
0,200,-6.270171946859908,0.5
0,300,6.120584579060035,0.5
0,400,16.047383557714724,0.5
0,500,19.949401682351372,0.5
0,600,16.421924998470374,0.5
0,700,6.996089934650058,0.5
0,800,-6.318489034049838,0.5
0,900,-16.575665260761774,0.5
12,0,-20.363368884482156,0.5
12,100,-16.07471834966616,0.5
12,200,-6.324223922175818,0.5
12,300,5.5725083774459945,0.5
12,400,15.558483209376194,0.5
12,500,20.225651653329987,0.5
12,600,16.814623490509742,0.5
12,700,6.518198548607812,0.5
12,800,-6.11220092818783,0.5
12,900,-16.58457932501066,0.5
24,0,-19.865867101523033,0.5
24,100,-15.329539655791002,0.5
24,200,-5.276599694997044,0.5
24,300,4.992214908235484,0.5
24,400,16.189247559014394,0.5
24,500,19.088275700965372,0.5
24,600,15.995753614838035,0.5
24,700,5.689758008810784,0.5
24,800,-5.918601032162188,0.5
24,900,-17.478824182012495,0.5
36,0,-19.882999053780583,0.5
36,100,-16.08815061518483,0.5
36,200,-6.571311791407048,0.5
36,300,5.596098313522213,0.5
36,400,15.214660012622963,0.5
36,500,20.104472695982928,0.5
36,600,16.73863725559394,0.5
36,700,6.655699850700083,0.5
36,800,-6.513665911813516,0.5
36,900,-16.69047275714282,0.5
48,0,-20.018307597794397,0.5
48,100,-14.353155380008145,0.5
48,200,-5.873852163416696,0.5
48,300,5.679535779606898,0.5
48,400,15.016236250084695,0.5
48,500,19.74232375685295,0.5
48,600,16.44496120358536,0.5
48,700,6.474347370340233,0.5
48,800,-6.535591094297691,0.5
48,900,-17.3583331960678,0.5
60,0,-20.293910866517685,0.5
60,100,-15.734319674092358,0.5
60,200,-5.392584255644259,0.5
60,300,5.430448132746786,0.5
60,400,15.176818013288557,0.5
60,500,20.941878698846374,0.5
60,600,16.8981227949542,0.5
60,700,6.1725998899757135,0.5
60,800,-6.710845634823207,0.5
60,900,-16.68713514078635,0.5
72,0,-19.468621757842726,0.5
72,100,-14.426527356300415,0.5
72,200,-5.028990118947117,0.5
72,300,4.525301445706358,0.5
72,400,14.631322061229868,0.5
72,500,20.093729479369404,0.5
72,600,17.199581137599065,0.5
72,700,6.443242975720069,0.5
72,800,-7.487789696132461,0.5
72,900,-16.89877946592609,0.5
84,0,-19.80269143848251,0.5
84,100,-13.462543567383364,0.5
84,200,-5.649983891299502,0.5
84,300,5.712655214912604,0.5
84,400,13.948509686162614,0.5
84,500,19.61740360225501,0.5
84,600,18.532964880389684,0.5
84,700,6.894517272004726,0.5
84,800,-7.653873091791158,0.5
84,900,-17.726768336884298,0.5
96,0,-19.191150300501455,0.5
96,100,-14.467848728336282,0.5
96,200,-5.590283632749466,0.5
96,300,5.435747423492537,0.5
96,400,14.91833303627713,0.5
96,500,19.509801798745347,0.5
96,600,17.969513305705842,0.5
96,700,7.302039675317973,0.5
96,800,-6.615354531157045,0.5
96,900,-17.502161903111144,0.5
108,0,-19.67378984966514,0.5
108,100,-13.9078468033,0.5
108,200,-4.035032269659019,0.5
108,300,4.115838954992157,0.5
108,400,14.067878138643769,0.5
108,500,20.97444160967769,0.5
108,600,17.198776817559516,0.5
108,700,7.745130999775296,0.5
108,800,-7.257710947601673,0.5
108,900,-18.172710302972014,0.5
120,0,-19.621045773689378,0.5
120,100,-13.864400137187381,0.5
120,200,-4.853567211839412,0.5
120,300,4.994015161988318,0.5
120,400,14.364444313102128,0.5
120,500,19.080561851006102,0.5
120,600,18.154262627084805,0.5
120,700,8.491151912502808,0.5
120,800,-7.968473387622051,0.5
120,900,-17.44662787480211,0.5
132,0,-18.714115267501658,0.5
132,100,-13.742112899868431,0.5
132,200,-5.237406685296318,0.5
132,300,5.010543134207245,0.5
132,400,13.753554599594828,0.5
132,500,18.767757233085756,0.5
132,600,18.75990000332581,0.5
132,700,7.6085211987172165,0.5
132,800,-7.791720134310543,0.5
132,900,-18.60963873445416,0.5
144,0,-18.86574296690534,0.5
144,100,-14.782590004505831,0.5
144,200,-4.392718824012661,0.5
144,300,4.9811662003494135,0.5
144,400,13.880968864414115,0.5
144,500,18.896050443654428,0.5
144,600,18.93970146252696,0.5
144,700,8.254061615155612,0.5
144,800,-8.193509139040163,0.5
144,900,-19.20379136780948,0.5
156,0,-19.40303923516229,0.5
156,100,-13.3402433163203,0.5
156,200,-4.5034621632352065,0.5
156,300,4.045900500943037,0.5
156,400,13.573458054414314,0.5
156,500,20.190000976441148,0.5
156,600,19.181640752022748,0.5
156,700,9.287830376644411,0.5
156,800,-8.90528974165587,0.5
156,900,-18.667384986487725,0.5
168,0,-18.756236523759263,0.5
168,100,-13.554279826632353,0.5
168,200,-4.8661788316284165,0.5
168,300,5.709665519247117,0.5
168,400,13.054283463903712,0.5
168,500,18.612961077633006,0.5
168,600,17.480370952735154,0.5
168,700,8.085485236762645,0.5
168,800,-9.48632492649386,0.5
168,900,-18.12276911043065,0.5
180,0,-19.74589099959796,0.5
180,100,-12.921329635440882,0.5
180,200,-4.42879771149682,0.5
180,300,3.3251297927630414,0.5
180,400,12.828823624401048,0.5
180,500,18.930981941872275,0.5
180,600,18.688292983388447,0.5
180,700,9.561579152953055,0.5
180,800,-9.651071899385808,0.5
180,900,-18.624066729637644,0.5
192,0,-19.422945590091018,0.5
192,100,-13.60567079652314,0.5
192,200,-4.918559820234415,0.5
192,300,4.0908578989028355,0.5
192,400,12.515281870688916,0.5
192,500,18.13226935340038,0.5
192,600,18.43441432376067,0.5
192,700,9.336994061375432,0.5
192,800,-9.131082096588413,0.5
192,900,-19.289515079248407,0.5
204,0,-19.65490105608547,0.5
204,100,-12.930760555980632,0.5
204,200,-4.227092175779335,0.5
204,300,5.018447248728826,0.5
204,400,13.433323476110171,0.5
204,500,18.508067592625583,0.5
204,600,18.497704425377545,0.5
204,700,10.106533156464105,0.5
204,800,-9.26646189799662,0.5
204,900,-18.591500745852596,0.5
216,0,-18.44909729933258,0.5
216,100,-12.335396855571751,0.5
216,200,-5.245106807916816,0.5
216,300,4.222889451202687,0.5
216,400,13.247685286392812,0.5
216,500,18.044997494039976,0.5
216,600,19.219651077422817,0.5
216,700,9.825202481657485,0.5
216,800,-9.349738460392217,0.5
216,900,-19.615595951584066,0.5
228,0,-18.757970046091906,0.5
228,100,-11.821009919001426,0.5
228,200,-4.33377748801263,0.5
228,300,4.5965697619891674,0.5
228,400,11.98619222168121,0.5
228,500,17.581307771651385,0.5
228,600,19.19693537713731,0.5
228,700,10.371742656747804,0.5
228,800,-10.158091384380445,0.5
228,900,-19.67558966794139,0.5
240,0,-18.296040387537566,0.5
240,100,-12.361676037372678,0.5
240,200,-4.5993630510362085,0.5
240,300,3.9227697853728634,0.5
240,400,12.567181774127139,0.5
240,500,18.364302689680013,0.5
240,600,19.274378118309944,0.5
240,700,10.941497704184084,0.5
240,800,-10.215557946661628,0.5
240,900,-19.361323402216666,0.5
252,0,-18.46458094388247,0.5
252,100,-11.602878994681943,0.5
252,200,-4.313100886658038,0.5
252,300,3.6747863533530003,0.5
252,400,12.002888320518268,0.5
252,500,18.444300838439254,0.5
252,600,18.931414403133846,0.5
252,700,11.419449126922029,0.5
252,800,-9.966927027499919,0.5
252,900,-19.568451881431386,0.5
264,0,-18.52495518674309,0.5
264,100,-12.332808731216529,0.5
264,200,-4.502714012787861,0.5
264,300,4.073419775163607,0.5
264,400,12.673859778677116,0.5
264,500,18.442472953773404,0.5
264,600,20.19181592841251,0.5
264,700,12.26676705097381,0.5
264,800,-11.183007315034395,0.5
264,900,-20.076951126948156,0.5
276,0,-18.7257508145651,0.5
276,100,-11.97056767329354,0.5
276,200,-4.170289653571435,0.5
276,300,3.965558076744154,0.5
276,400,11.98913455814626,0.5
276,500,17.129420065737143,0.5
276,600,20.883506048234242,0.5
276,700,12.131361323079282,0.5
276,800,-12.033761610475336,0.5
